,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_2,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus
ASV_3,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter
ASV_4,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina
ASV_5,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
ASV_7,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina
ASV_8,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter
ASV_9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_10,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Psychrobacillus
ASV_11,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus
ASV_12,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA
ASV_13,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina
ASV_14,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_15,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA
ASV_16,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA
ASV_17,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus
ASV_18,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_19,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
ASV_20,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_21,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_22,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Domibacillus
ASV_23,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
ASV_24,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
ASV_25,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus
ASV_26,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_27,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter
ASV_28,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus
ASV_29,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_30,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_31,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Domibacillus
ASV_32,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
ASV_33,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
ASV_34,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA
ASV_35,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
ASV_36,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_37,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus
ASV_38,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA
ASV_39,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_40,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Effusibacillus
ASV_41,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Caryophanon
ASV_42,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
ASV_43,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
ASV_44,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_45,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055
ASV_46,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
ASV_47,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_48,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Psychrobacillus
ASV_49,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
ASV_50,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
ASV_51,Bacteria,Firmicutes,Symbiobacteriia,Symbiobacteriales,Symbiobacteraceae,NA
ASV_52,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum
ASV_53,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV_54,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA
ASV_55,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV_56,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV_57,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter
ASV_58,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
ASV_59,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus
ASV_60,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV_61,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas
ASV_62,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_63,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella
ASV_64,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA
ASV_65,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV_66,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
ASV_67,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA
ASV_68,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Mycetocola
ASV_69,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus
ASV_70,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV_71,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_72,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
ASV_73,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA
ASV_74,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_75,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum
ASV_76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga
ASV_77,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Xylophilus
ASV_78,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
ASV_79,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum
ASV_80,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
ASV_81,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_82,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum
ASV_83,Bacteria,Firmicutes,Symbiobacteriia,Symbiobacteriales,Symbiobacteraceae,NA
ASV_84,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
ASV_85,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium
ASV_86,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV_87,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_88,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter
ASV_89,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
