Barcode,Site,Pile/BiologicalRep,Month,pH,GWC (g/mL),NH4 (mg/kg),NO3 (mg/kg),TOC (mg/kg),TN (mg/kg),CO2,Fire
Feb_Chapparal_1,Chapparal,1,Feb,5.72,32.45,4.980945553,21.15822609,134.6,25.974,NA,Pre-Fire
Feb_Chapparal_2,Chapparal,2,Feb,6.64,41.83,9.224983333,17.5038,208.52,27.995,NA,Pre-Fire
Feb_Chapparal_3,Chapparal,3,Feb,5.28,46.96,8.330941284,27.04033074,215.95,38.302,NA,Pre-Fire
Feb_Chapparal_4,Chapparal,4,Feb,5.28,87.27,15.89485,19.17441667,501.55,50.347,NA,Pre-Fire
Feb_Chapparal_5,Chapparal,5,Feb,5.34,55.01,9.651633333,27.42571667,207.78,28.206,NA,Pre-Fire
Feb_Chapparal_6,Chapparal,6,Feb,5.86,63.15,5.910611244,36.17257415,198.03,37.105,NA,Pre-Fire
Feb_Chapparal_7,Chapparal,7,Feb,5.76,54.38,7.954316667,46.50973333,223.41,57.948,NA,Pre-Fire
Feb_Chapparal_8,Chapparal,8,Feb,5.56,45.38,6.640726347,36.62080263,252.7,57.321,NA,Pre-Fire
Feb_Chapparal_9,Chapparal,9,Feb,5.35,44.42,7.336447705,41.50552974,307.97,62.752,NA,Pre-Fire
Feb_Chapparal_10,Chapparal,10,Feb,5.6,42.62,9.16101507,39.53737538,302.28,70.436,NA,Pre-Fire
Feb_Oak_Woodland_1,Oak_Woodland,1,Feb,6.62,43.08,8.247883333,52.64715,437.32,89.717,NA,Pre-Fire
Feb_Oak_Woodland_2,Oak_Woodland,2,Feb,5.88,28.04,10.2982,64.66171667,422.34,105.393,NA,Pre-Fire
Feb_Oak_Woodland_3,Oak_Woodland,3,Feb,6.76,31.46,6.05165,28.35741667,292.29,63.376,NA,Pre-Fire
Feb_Oak_Woodland_4,Oak_Woodland,4,Feb,6.56,40.65,8.692166667,46.23443333,289.75,66.315,NA,Pre-Fire
Feb_Oak_Woodland_6,Oak_Woodland,6,Feb,6.15,44.13,4.833966667,13.10121667,459.77,139.44,NA,Pre-Fire
Feb_Oak_Woodland_7,Oak_Woodland,7,Feb,5.8,30.8,NA,NA,155.54,23.933,NA,Pre-Fire
Feb_Oak_Woodland_8,Oak_Woodland,8,Feb,5.58,29.52,5.93315,21.10741667,295.33,48.461,NA,Pre-Fire
Feb_Oak_Woodland_9,Oak_Woodland,9,Feb,6.14,31.15,4.274933333,39.90485,192.65,47.584,NA,Pre-Fire
Feb_Oak_Woodland_10,Oak_Woodland,10,Feb,6.27,25.8,4.50905,4.09035,125.52,12.207,NA,Pre-Fire
Mar_Chapparal_1,Chapparal,1,Mar,9.64,15.14,66.27746793,0.865906953,570.16,91.129,NA,Post-Fire
Mar_Chapparal_2,Chapparal,2,Mar,10.38,15,6.003909031,0.747522643,492.52,25.457,NA,Post-Fire
Mar_Chapparal_3,Chapparal,3,Mar,8.04,21.84,87.74208599,0.797165502,1145.88,158.202,NA,Post-Fire
Mar_Chapparal_4,Chapparal,4,Mar,9.32,24.76,26.78797751,1.264836959,568.94,54.899,NA,Post-Fire
Mar_Chapparal_5,Chapparal,5,Mar,8.38,19.41,43.3742,0.982533333,947.94,98.392,NA,Post-Fire
Mar_Chapparal_6,Chapparal,6,Mar,7.66,22.06,91.93836667,1.035383333,924.57,132.271,NA,Post-Fire
Mar_Chapparal_7,Chapparal,7,Mar,9.48,28.47,86.13847311,1.7701666,987.95,120.374,NA,Post-Fire
Mar_Chapparal_8,Chapparal,8,Mar,8.95,19.77,21.30873633,1.576929774,729.09,54.062,NA,Post-Fire
Mar_Chapparal_9,Chapparal,9,Mar,10.12,18.05,22.8395,1.176083333,830.1,62.335,NA,Post-Fire
Mar_Chapparal_10,Chapparal,10,Mar,7.54,20.56,78.97983759,2.311313373,1191.83,68.815,NA,Post-Fire
Mar_Oak_Woodland_1,Oak_Woodland,1,Mar,10.49,57.87,6.5926,0.787183333,1788.78,138.28,NA,Post-Fire
Mar_Oak_Woodland_2,Oak_Woodland,2,Mar,10.97,67.96,3.8928,3.368633333,1074.72,70.217,NA,Post-Fire
Mar_Oak_Woodland_3,Oak_Woodland,3,Mar,10.37,53.6,32.79116667,2.680333333,1636.37,144.932,NA,Post-Fire
Mar_Oak_Woodland_4,Oak_Woodland,4,Mar,10.15,74.43,7.494633333,0.8176,984.54,74.318,NA,Post-Fire
Mar_Oak_Woodland_6,Oak_Woodland,6,Mar,7.92,43.34,204.9885167,0.843966667,1629.5,262.296,NA,Post-Fire
Mar_Oak_Woodland_7,Oak_Woodland,7,Mar,11.35,34.45,3.313933333,5.043166667,971.51,73.6,NA,Post-Fire
Mar_Oak_Woodland_8,Oak_Woodland,8,Mar,9.8,57.27,6.641516667,1.959283333,757.27,45.475,NA,Post-Fire
Mar_Oak_Woodland_9,Oak_Woodland,9,Mar,11.02,73.89,2.947616667,3.77495,2089.96,70.627,NA,Post-Fire
Mar_Oak_Woodland_10,Oak_Woodland,10,Mar,10.19,89.21,8.6894,1.39745,702.4,39.031,NA,Post-Fire
